PALAVRA,Transc.Fon,VOGAL,F1,F2,F1.NORM,F2.NORM,CONT.PREC,CONT.SEG,VOGAL.SIL.SEG,F1.SIL.SEG,F2.SIL.SEG,F1.SEG.NORM,F2.SEG.NORM,VOGAL.TONICA,DIST.TONICA,ESTR.SIL.PRET,Begin.Time.s,End.Time.s,Duration.ms,AMOSTRA,PARTICIPANTE,SEXO,IDADE,IDADE.CHEGADA,ANOS.SP,CONTEXTO
morena,m<o>-'Re-na,o,586.5775594604,1009.3559222792,436.613,1175.831,m,R,e,534.7069115325,2167.1449573244,339.28,1598.037,e,1,CV,979.1900643722,979.2254249873,35.3606150589,PBSP,MartaS,feminino,32,18,14,aí ela falou que se ela desse uma morena é porque ela estava
ligada,l<i>-'ga-da,i,421.6857353717,1902.412055124,370.799,1639.738,l,g,a,771.0288145121,1332.399900777,411.021,1194.239,a,1,CV,989.4779727838,989.4875079509,9.5351670682,PBSP,MartaS,feminino,32,18,14,então agora que ela veio pra são paulo que ela me explicou muitas coisa assim né porque ela fica sentida porque eu não sou muito ligada a ela
cobrando,k<o>-'bRA-do,o,656.2940398952,1098.0485122044,464.479,1221.931,k,b,A,528.6262342134,1521.5543928639,337.393,1285.705,A,1,CV,1010.3598568579,1010.3771259955,17.2691375869,PBSP,MartaS,feminino,32,18,14,não estou cobrando
gostar,g<o>s-'tar,o,600.6593398332,1236.0444192641,442.261,1293.542,g,s,a,773.6327886493,1302.5509714236,411.792,1179.881,a,1,CVs,1027.6280133387,1027.654328215,26.3148763229,PBSP,MartaS,feminino,32,18,14,ela vai gostar mais de quem
mudar,m<u>-'dar,u,379.3103461602,1125.1782073235,353.855,1236.029,m,d,a,567.3488909216,1593.6540821578,349.185,1320.625,a,1,CV,1061.7518989252,1061.7743960795,22.4971543025,PBSP,MartaS,feminino,32,18,14,mudar
lugar,l<u>-'gar,u,399.4785964217,866.6435320288,361.931,1101.758,l,g,a,774.1633137307,1498.7768445487,411.964,1274.715,a,1,CV,1108.8191635826,1108.87025753,51.0939473572,PBSP,MartaS,feminino,32,18,14,tem mesmo lá no cantinho porque sempre tem um lugar que é mais
condução,kO-d<u>-'sAw,u,417.9740592858,1044.9247261083,369.305,1194.182,d,s,Aw,609.4668659741,1343.138977572,361.964,1199.557,Aw,1,CV,1123.9393085429,1123.9701577186,30.8491757628,PBSP,MartaS,feminino,32,18,14,já no metrô levou meu salário inteiro levou minha condução e eu fiquei chorando
chorando,S<o>-'RA-do,o,722.2267436971,1132.6089144229,490.805,1239.834,S,R,A,687.6919350593,1656.1826644209,385.72,1350.937,A,1,CV,1125.0217600856,1125.0447856024,23.0255167826,PBSP,MartaS,feminino,32,18,14,já no metrô levou meu salário inteiro levou minha condução e eu fiquei chorando
pegaram,p<e>-'ga-RA,e,623.2664871774,2196.6147727923,451.27,1792.359,p,g,a,861.8169307526,1540.5239985394,438.551,1294.923,a,1,CV,1132.4504013635,1132.472838258,22.4368945489,PBSP,MartaS,feminino,32,18,14,eles pegaram essa senhora
lotado,l<o>-'ta-do,o,565.1251633431,1133.966981912,428.071,1240.505,l,t,a,751.5251905428,1239.2547678953,405.103,1149.215,a,1,CV,1153.3292569595,1153.3489931167,19.7361572423,PBSP,MartaS,feminino,32,18,14,aí estava cheio super lotado o metrô
fiquei,f<i>-'kej,i,552.5128124613,1741.2813395681,423.03,1556.042,f,k,ej ,438.431407433,2945.64688162,310.034,1974.538,ej,1,CV,1184.0083199117,1184.0218582231,13.5383113713,PBSP,MartaS,feminino,32,18,14,quando eu fui dar eu fiquei desesperada né fiquei sem o leite de meu filho
desesperada,d<e>-z<e>s-p<e>-'Ra-da,e,721.7156801177,2118.1304937785,490.571,1751.63,p,R,a,860.760179004,1390.9795053336,438.25,1222.601,a,1,CV,1184.5698119172,1184.5837858452,13.9739279668,PBSP,MartaS,feminino,32,18,14,quando eu fui dar eu fiquei desesperada né fiquei sem o leite de meu filho
liguei,l<i>-'gej,i,423.4912006621,1650.212745421,371.499,1508.6,l,g,ej ,439.4546388532,1689.8185484264,310.334,1367.068,ej,1,CV,1191.6778624882,1191.6937552885,15.8928003057,PBSP,MartaS,feminino,32,18,14,aí a leticia liguei pra leticia né a leticia me deu me pagou mais
